logo restaurant,comercio,direccion,horarios,especialidad,precio,otros,web,descripcion,beneficio url
http://www.clubdelectores.cl/fotos/2012/08/30/20120830_SantaBrasa.jpg,Santabrasa Burger Lounge,"Av. Kennedy 9001, local 3232, Las Condes.",,,$15.000,Teléfono: 954 3165,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=201
http://www.clubdelectores.cl/fotos/2009/04/13/20090413_il-siciliano.jpg,Siciliano,"Dardignac 0102, Bellavista. (2) 737 2265","Lunes a domingo, almuerzo y cena",Italiana,$24.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=56
http://www.clubdelectores.cl/fotos/2010/09/03/20100903_solace.jpg,Solace,"Imperial 0211, Hotel Solace. (65) 634 100",,Internacional,$20.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=132
http://www.clubdelectores.cl/fotos/2011/01/25/20110125_logo.jpg,Soul of India,"Av. Vitacura 4111. (2) 228 2825",Lunes a jueves / almuerzo ( 12:00 -15:30) / Cena (19:30 - 23:00) / viernes y sábado almuerzo (12:00-15:300 )/ Cena (19:30-12:00),India,$30.000,,www.soulofindia.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=33
http://www.clubdelectores.cl/fotos/2009/04/13/20090413_squella.jpg,Squella,"Ricardo Cumming 94, Santiago Centro. (2) 699 3059 y (2) 696 4259","Lunes a sábado, almuerzo y cena/domingo sólo almuerzo",Pescados y Mariscos,"$28.000 Valor de la langosta desde $14.500, exclusivo para socios",,www.squellarestaurant.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=65
http://www.clubdelectores.cl/fotos/2012/04/13/20120413_strada.jpg,STRADA,Av. Américo Vespucio #399 local 533 A Fono: (2)3671192,,Italiana,$17.500,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=89
http://www.clubdelectores.cl/fotos/2012/04/13/20120413_strada.jpg,Strada,"14 Norte 880, Boulevard Marina Arauco, tercer nivel, Viña del Mar",,Italiana,30.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=192
http://www.clubdelectores.cl/fotos/2011/10/28/20111028_t1.jpg,Toromiro,"Av. Nueva Costanera 4076, Vitacura, (2)986 4803.",,Internacional,$36.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=158
http://www.clubdelectores.cl/fotos/2009/04/09/20090409_tres-continentes.jpg,Tres Continentes,"Francisco Bilbao 1042. (2) 209 4156","De lunes a jueves almuerzo 13:00 - 16:00 y cena 20:00 - 24.00 viernes y Sábado de 13:00- 16:00 y de 20:00- 01:00, domingo solo (almuerzo) de 01:00 - 17:00 horas.",Internacional,$25.000,,www.lostrescontinentes.cl,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=53
http://www.clubdelectores.cl/fotos/2009/04/04/20090404_tuta-pasta.jpg,Tutta Pasta,"Av. Las Condes 9681. (2) 453 5550 y (2) 453 5560","Lunes a sábado, almuerzo y cena/domingo sólo almuerzo",Italiana,"$18.000 Consulte por promociones especiales. Además, para llevar ofrece distintas promociones en pastas frescas venta al detalle y mayorista. (Ravioles, fettuccini ,gnocchi, pansotti, tortelloni etc.)","Este destacado restaurante Italiano, conserva la tradición y celebra como días especiales, los 29 de cada mes, celebramos a la hora de almuerzo y cena ""El día del gnocchi"". Adicionalmente, todos los jueves a la hora de almuerzo y cena el ""día de la lasagna"".",,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=14
http://www.clubdelectores.cl/fotos/2011/03/16/20110316_zafran.jpg,Zafran,Av. Comandante Malbec 12851 (2)937 4202.,"Desayuno 6:30 a 10:30 hrs. Almuerzo 12:30 a 15:30 hrs. Cena 19:00 a 23:00 hrs.",Mediterráneo,$36.500,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=159
http://www.clubdelectores.cl/fotos/2012/09/05/20120905_1.jpg,Zanzíbar,"Monseñor Escrivá de Balaguer 6400, local 6, Vitacura",,Chilena,$40.000,,,"Beneficio válido sólo en estos restaurantes presentando tu tarjeta Club de Lectores de El Mercurio vigente y cédula de identidad. 25% de descuento pagando con tu tarjeta Club de Lectores American Express®, efectivo, cheque o tarjeta débito. 20% de descuento pagando con otras tarjetas de crédito. Descuento aplicable a un máximo de 8 personas por mesa desde el 2 de septiembre al 6 de octubre de 2012. Beneficio exento para promociones especiales, menús promocionales o happy hours, no incluye pedidos telefónicos, despachos a domicilio ni take out. Descuento no válido para días festivos.",http://www.clubdelectores.cl/gastronomia/gastronomia_restaurant_detalle.aspx?id_restaurant=204

