comercio,direccion,telefono,horario,descripcion,locales,comercio link,comerciourl,descuento,descuento2,categoria url,logo url,beneficio url,beneficio,beneficio url2
PetraSpa Radisson La Dehesa,"Comandante Malbec 12851, La Dehesa.",,Lu - Vi 07:00 a 22:00 hrs.  Fin de semana y Festivos de 09:00 a 20:00 hrs.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,PetraSpa Radisson,www.radisson.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/bell_petra.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_petradep&PAIS=CL&CLASS=7_11,40% Dcto. en el pago de la matrícula y mensualidad.  Evaluación diagnóstica sin costo.,
Studio Fitness Options,"Apoquindo 5065, Las Condes",,Lu - Ju: 06:00 a 23:00 hrs. Vi: 06:00 a 22:00 hrs.  Sa: 08:00 a 18:00 hrs. Do y Festivos 09:00 a 14:00 hrs.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Studio Fitness Options,www.studiofitnessoptions.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_sfo.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_sfo&PAIS=CL&CLASS=7_11,20% Dcto. en la mensualidad. Se Excluye promociones vigentes.,
Izumi Pilates Studio,"Apoquindo 4974, Las Condes",,20% Dcto. sobre total de la cuenta. Se Excluye promociones vigentes.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Izumi Pilates Studio,www.izumipilates.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_izumi.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_izumi&PAIS=CL&CLASS=7_11,20% Dcto. sobre total de la cuenta. Se Excluye promociones vigentes.,
Sadhana Yoga,"Rodrigo de Quiroga 2716, Vitacura.",,50% Dcto. en la Matricula. 20% Dcto. en el total de la mensualidad. Una clase gratis,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Sadhana Yoga,www.sadhanayoga.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_sadhana.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_sadhana&PAIS=CL&CLASS=7_11,50% Dcto. en la Matricula. 20% Dcto. en el total de la mensualidad. Una clase gratis,
Energy,"Encomenderos 200, Las Condes.",,Lu - Vi: 06:30 a 23:30 hrs.  Sá y Festivos: 09:00 a 19:00 hrs. Do: 09:00 a 14:00 hrs,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,Las Condes (Encomenderos),Energy,www.energy.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_energy.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy&PAIS=CL&CLASS=7_11,30% Dcto. en plan semestral prepago y activación. Matrícula gratis. Válido para personas que no hayan sido socios. Un solo plan por persona.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy2&PAIS=CL&CLASS=7_11
Energy,"Av. Padre Hurtado Sur 1621, Las Condes.",,Lu - Vi: 06:30 a 23:30 hrs.  Sá y Festivos: 09:00 a 19:00 hrs. Do: 09:00 a 14:00 hrs.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,Las Condes,Energy,www.energy.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_energy.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy&PAIS=CL&CLASS=7_11,30% Dcto. en plan semestral prepago y activación. Matrícula gratis. Válido para personas que no hayan sido socios. Un solo plan por persona.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy7&PAIS=CL&CLASS=7_11
Energy,"Av. Vitacura 4380, Vitacura.",,Lu - Vi: 06:30 a 23:30 hrs.  Sá y Festivos: 09:00 a 19:00 hrs. Do: 09:00 a 14:00 hrs,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,Vitacura,Energy,www.energy.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_energy.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy&PAIS=CL&CLASS=7_11,30% Dcto. en plan semestral prepago y activación. Matrícula gratis. Válido para personas que no hayan sido socios. Un solo plan por persona.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy1&PAIS=CL&CLASS=7_11
Energy,"Echeñique 8490, La Reina",,Lu - Vi: 06:30 a 23:30 hrs.  Sá y Festivos: 09:00 a 19:00 hrs. Do: 09:00 a 14:00 hrs,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,La Reina,Energy,www.energy.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_energy.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy&PAIS=CL&CLASS=7_11,30% Dcto. en plan semestral prepago y activación. Matrícula gratis. Válido para personas que no hayan sido socios. Un solo plan por persona.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy8&PAIS=CL&CLASS=7_11
Energy,"Av. Tobalaba 11761, Peñalolén.",,Lu - Vi: 06:30 a 23:30 hrs.  Sá y Festivos: 09:00 a 19:00 hrs. Do: 09:00 a 14:00 hrs,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,Peñalolén,Energy,www.energy.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_energy.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy&PAIS=CL&CLASS=7_11,30% Dcto. en plan semestral prepago y activación. Matrícula gratis. Válido para personas que no hayan sido socios. Un solo plan por persona.,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_energy3&PAIS=CL&CLASS=7_11
Academia Embrujo,"Ramon Carnicer 109, Providencia.",,20% descuento en cursos mensuales.  Matrícula Gratis. Excluye otras promociones,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Academia Embrujo,www.embrujo.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_embrujo.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_embrujo&PAIS=CL&CLASS=7_11,20% descuento en cursos mensuales.  Matrícula Gratis. Excluye otras promociones,
Neosport,"Av. Consistorial 5310, Peñalolén.",,Lu-Vi: 6:30 a 22:00 hrs.  Sá: 9:00 a 16:00 hrs. Do y Festivos: 9:00 a 14:00 hrs.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Neosport,www.neosport.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_neosport.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_neosport&PAIS=CL&CLASS=7_11,25% descuento en plan trimestral  50% descuento en la matrícula.,
Aquamarina,La Dehesa 3372 Local 7 Paseo Los Nogales. Lo Barnechea.,,Lu - Vi 08:00 a 21.00 hrs.  Sá 09.00 a 14.00 hrs.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Aquamarina,www.aquamarinaltda.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_aquamarina.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_aquamarina&PAIS=CL&CLASS=7_11,"20% Dcto. en Power Plate. Excluye promociones, no acumulable.",
Club Vida Grande,"Av. Acueducto 2998, Peñalolen",,20% Dcto. sobre el valor de arriendo de cancha de tenis.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Club Vida Grande,www.clubvidagrande.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_vidagrande.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_vidagrande&PAIS=CL&CLASS=7_11,20% Dcto. sobre el valor de arriendo de cancha de tenis.,
Aerofisic,"Av. Walker Martínez 1786 local 11, La Florida",,Atención las 24 hrs. Horario Continuo.  abierto día y noche.,Descuento se efectuará al momento de pagar con CMR Visa y será de responsabilidad exclusiva del comercio. No acumulable con otras ofertas o promociones.,,Aerofisic,www.aerofisic.cl,,,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRDeportes&PAIS=CL,http://www.cmrfalabella.com/b2cfapr/CMRCORP/grafica/imgs/CL/dep_aerofisic.jpg,http://www.cmrfalabella.com/b2cfapr/CMRCORP/logica/jsp/CMRCORPFFLogin.jsp?PAGINA=CMRdep_aerofisic&PAIS=CL&CLASS=7_11,50% Dcto. en plan anual. 50% Dcto. en Matricula.,

